42,Sacramento,1/20/06 0:00,4932 SHADY LEAF WAY,2,2A,212,459 PC  BURGLARY VEHICLE,2299,-121.4605138,38.65701743
43,Boston,5/2/11 8:00,7580 CENTER PKWY,6,6C,1121,TOWED/STORED VEHICLE,7000,-42.5035129,71.5537181
44,Boston,5/10/07 18:30,1100 17TH ST,2,2B,564,9.04.050 A DRINKING IN PUBLIC,7399,-42.500048,71.54016571
45,Los Angeles,1/27/09 9:15,77 AUDIA CIR,5,5C,1624,484 PC  PETTY THEFT/ OUTSIDE,2309,-34.4303406,118.59657483
46,Boston,6/5/12 13:30,8200 CENTER PKWY,2,2C,615,23153(A) VC DUI CAUSE INJURY,5404,-42.4111198,71.51613758
47,Boston,5/12/09 13:30,28TH ST / L ST,2,2B,545,10851(A)VC TAKE VEH W/O OWNER,2404,-42.5160097,71.6075117
48,Sacramento,1/16/06 13:52,1118 7TH ST,3,3M,742,4140 BP  POSS OF HYPO NEEDLE,3599,-121.4984909,38.57966477
49,Sacramento,1/15/06 14:30,7774 SHRADER CIR,5,5A,1506,FOUND PROPERTY - I RPT,7000,-121.468608,38.47559478
50,Boston,7/9/12 18:30,2486 18TH AVE,2,2A,506,487(A) PC GRAND THEFT,2303,-42.4502184,71.54031312
51,Sacramento,1/9/06 11:08,8391 FOLSOM BLVD,3,3C,1115,TRAFFIC-ACCIDENT INJURY,5400,-121.3940644,38.54818818
52,Sacramento,10/25/11 8:00,1800 U ST,3,3A,785,594(B)(2)(A) VANDALISM/ -$400,2999,-121.4876931,38.56490201
53,Sacramento,1/14/06 16:25,32ND ST / 3RD AVE,6,6A,1011,TOWED/STORED VEH-14602.6,7000,-121.4724294,38.55270462
54,Boston,4/2/06 1:00,100 BICENTENNIAL CIR,3,3C,851,243(E)1 BATTERY NONCOHAB SPOUS,1315,-42.4095726,71.51007761
55,Sacramento,1/6/12 8:00,39TH ST / V ST,6,6B,1004,TRAFFIC-ACCIDENT INJURY,5400,-121.4594919,38.55719769
56,New York,12/7/07 18:30,FRANKLIN BLVD / MACK RD,2,2C,568,TOWED/STORED VEH-14602.6,7000,-40.4424398,74.63869884
57,Los Angeles,1/11/09 3:45,121 OTTO CIR,3,3B,736,10851(A)VC TAKE VEH W/O OWNER,2404,-34.4504318,118.6161187
58,Chicago,3/26/09 0:00,70 RAMBLEOAK CIR,3,3M,736,10851 VC AUTO THEFT LOCATE,2404,-41.4792477,87.62322376
59,Sacramento,1/16/06 14:40,4119 DEER CROSS WAY,5,5B,1616,TOWED/STORED VEHICLE,7000,-121.4590392,38.46930612
60,Sacramento,1/5/06 19:54,1820 J ST,3,3M,746,CASUALTY REPORT,7000,-121.48165,38.57686937
61,Boston,9/12/08 1:00,1949 FRIENZA AVE,5,5B,1602,TRAFFIC-ACCIDENT INJURY,5400,-42.4370462,71.45543018
62,Los Angeles,3/25/07 9:15,1731 ARVILLA DR,2,2B,543,MISSING PERSON I RPT,7000,-34.4843549,118.55447458
63,Chicago,6/5/10 3:45,6630 VALLEY HI DR,2,2C,628,RPT # CANCELLED- I RPT,7000,-41.4374397,87.60416364
64,Boston,3/27/07 18:30,3RD ST / K ST,2,2A,232,20002(A) HIT/RUN,5401,-42.4776557,71.47504015
65,Boston,1/15/05 20:15,1901 PEBBLEWOOD DR,3,3B,727,459 PC  BURGLARY VEHICLE,2299,-42.4266738,71.47380451
66,Sacramento,10/11/07 2:30,2646 ALBATROSS WAY,2,2C,568,POSS STOLEN VEHICLE- I RPT,7000,-121.422231,38.61370233
67,Chicago,2/18/07 0:00,52 BRANDYWOOD CT,3,3C,831,10851(A)VC TAKE VEH W/O OWNER,2404,-41.4986248,87.58052209
68,Los Angeles,12/9/09 1:00,KENNELFORD CIR / VALLEY HI PARK,2,2C,606,HARASSMENT - I RPT,7000,-34.4974099,118.58314743
69,Los Angeles,2/6/06 0:00,G ST / 16TH ST,5,5C,1606,BATTERY - I RPT,7000,-34.4243199,118.50713141
70,Chicago,7/20/06 18:30,43RD ST / 2ND AVE,3,3A,715,MISSING PERSON,7000,-41.4936494,87.49391
71,Sacramento,1/17/06 14:00,430 HARDING AVE,1,1C,449,459 PC  BURGLARY RESIDENCE,2204,-121.4725801,38.60802229
72,Sacramento,1/19/06 12:00,1416 BREWERTON DR,1,1B,435,LOST PROPERTY - I RPT,7000,-121.4922453,38.6157219
73,Los Angeles,7/3/06 8:00,7780 STOCKTON BLVD,4,4B,1356,417(A)1) PC BRANDISH NON-GUN,5212,-34.5121866,118.61490968
74,Boston,7/27/05 11:00,6565 SURFSIDE WAY,6,6C,1152,TOWED/STORED VEH-14602.6,7000,-42.5074956,71.56845333
75,Boston,3/7/09 0:00,2689 GROVE AVE,4,4B,958,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,-42.4990502,71.54485146
76,Boston,9/1/08 0:00,2621 D ST,6,6A,1015,TOWED/STORED VEHICLE,7000,-42.4584996,71.4741392
77,Chicago,11/12/06 15:00,2ND AVE / 57TH ST,6,6B,1086,10851(A)VC TAKE VEH W/O OWNER,2404,-41.4280294,87.62821323
78,Chicago,8/20/06 1:00,3501 MEADOWVIEW RD,6,6B,1065,TRAFFIC - I RPT,7000,-41.4308978,87.63592424
79,Chicago,9/7/05 1:00,3300 12TH AVE,6,6B,1421,653M(B) PC ANNOY/RPT CALL HOME,5307,-41.4155102,87.53272069
80,Sacramento,7/10/07 2:30,SANTIAGO AVE / EDGEWATER RD,2,2B,551,11357(B)HS POSS -28.5GR MARIJ,3562,-121.4618088,38.61214382
81,New York,7/18/10 16:45,845 EL CAMINO AVE,6,6C,1124,JUVENILE PROBLEMS - I RPT,7000,-40.4351262,74.5149777
82,Sacramento,2/6/06 16:45,3001 OTTUMWA DR,1,1A,123,459 PC  BURGLARY BUSINESS,2203,-121.5292529,38.66144962
83,Boston,4/7/07 9:15,8001 BRUCEVILLE RD,4,4C,985,11377(A)HS POSS AMPHETAMINES,3572,-42.5218778,71.60969712
84,New York,5/26/05 18:30,1650 RESPONSE RD,6,6C,1403,POSSIBLE FINANCIAL CRIME-I RPT,7000,-40.42717,74.47421612
85,Sacramento,1/16/06 21:39,1818 H ST,3,3B,736,484 PETTY THEFT/LICENSE PLATE,2399,-121.4809519,38.5790575
86,Chicago,9/25/08 18:30,617 SANTA ANA AVE,1,1A,136,459 PC  BURGLARY RESIDENCE,2204,-41.4727965,87.52904451
87,New York,1/1/08 2:30,1461 MEADOWVIEW RD,3,3M,742,459 PC  BURGLARY VEHICLE,2299,-40.4755357,74.61726206
88,Chicago,9/15/06 8:00,7767 LA RIVIERA DR,6,6C,1409,CASUALTY REPORT,7000,-41.4584329,87.56956597
89,Boston,4/6/10 18:30,6120 27TH ST,5,5C,1639,243(E)1 BATTERY NONCOHAB SPOUS,1315,-42.4550362,71.61220552
90,Los Angeles,9/4/08 0:00,AMERICAN AVE / CLEVELAND AVE,2,2A,502,484 PC   PETTY THEFT/INSIDE,2308,-34.4200242,118.59156169
91,Chicago,11/1/11 9:15,5400 RALEY BLVD,1,1A,145,TOWED/STORED VEH-14602.6,7000,-41.5188739,87.48642794
92,New York,9/26/12 15:00,FRANKLIN BLVD / 21ST AVE,6,6C,1445,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,-40.4815734,74.62975579
93,Boston,9/11/06 16:45,8151 POWER RIDGE RD,1,1C,405,TOWED/STORED VEH-14602.6,7000,-42.4856685,71.59007055
94,Los Angeles,10/7/06 1:00,2103 V ST,3,3A,761,TRAFFIC-ACCIDENT INJURY,5400,-34.3940644,118.54818818
95,Boston,3/26/12 8:00,6 INCA CT,3,3A,725,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,-42.4862108,71.56724322
96,Boston,3/20/12 13:30,598 EL CAMINO AVE,3,3B,736,594(B)(1)PC  VANDALISM +$400,2999,-42.4970061,71.67117206
97,New York,2/5/11 13:30,2451 MEADOWVIEW RD,4,4C,1269,594(B)(1)PC  VANDALISM +$400,2999,-40.427517,74.52507559
98,Los Angeles,7/7/10 18:30,3927 MARYSVILLE BLVD,6,2B,1064,TOWED/STORED VEHICLE,7000,-34.4552803,118.54726509
99,Chicago,11/25/05 15:00,1372 POWDERHORN WAY,1,1C,405,TOWED/STORED VEHICLE,7000,-41.4626901,87.57924878
100,New York,2/25/11 15:00,685 EL CAMINO AVE,2,2B,564,5150 WI DANGER SELF/OTHERS,7000,-40.406008,74.51048773
101,Boston,6/10/08 18:30,3100 MEADOWVIEW RD,2,2A,232,12020(A)1) PROHIBITED FIREARM,5212,-42.4803373,71.48142831
102,Los Angeles,7/2/08 3:45,4740 BECKET WAY,2,2C,626,FRAUD OR BUNCO - I RPT,7000,-34.5092581,118.62798992
103,Boston,7/3/06 15:00,1620 W EL CAMINO AVE,1,1C,449,TOWED/STORED VEHICLE,7000,-42.4200407,71.62783576
104,Chicago,12/12/06 15:00,2100 BROADWAY,5,5B,1614,ELDER ABUSE/PHYS/MENTAL-I RPT,7000,-41.458006,87.49362212
105,New York,11/20/12 16:45,1341 LONGSHORE CT,4,4B,958,484 PETTY THEFT-SHOPLIFT,2303,-40.5395568,74.50583253
106,Chicago,9/4/10 11:00,6625 VALLEY HI DR,2,2B,523,647(F) PC DIP - DISORDERLY,5311,-41.5024975,87.55692374
107,New York,5/9/05 1:00,INDIAN LN / WAH AVE,6,6B,1003,487(A) GRAND THEFT-AUTO PARTS,2304,-40.4717471,74.52488785
108,Sacramento,1/3/06 11:00,575 DISPLAY WAY,2,2A,511,10851(A)VC TAKE VEH W/O OWNER,2404,-121.4530341,38.64006189
109,New York,5/20/11 9:15,15TH ST / R ST,2,2C,568,11357(B)HS POSS -28.5GR MARIJ,3562,-40.5029735,74.57543889
110,New York,2/25/12 18:30,6140 GLORIA DR,4,4C,1259,459 PC  BURGLARY BUSINESS,2203,-40.4978986,74.62504428
111,Los Angeles,8/12/12 3:45,FREEPORT BLVD / FRUITRIDGE RD,4,4B,969,TOWED/STORED VEH-14602.6,7000,-34.5093439,118.66842409
112,Boston,8/18/12 2:30,2824 ALBATROSS WAY,5,5B,1367,594(B)(2)(A) VANDALISM/ -$400,2999,-42.4272581,71.46541304
113,Sacramento,8/12/08 1:00,5600 FOLSOM BLVD,3,3C,855,476 PC PASS FICTICIOUS CHECK,2501,-121.43864,38.55792771
114,New York,3/27/08 8:00,1ST AVE / ALHAMBRA BLVD,2,2C,618,11550(A)HS UNDER INFL NARCOTIC,3599,-40.5183094,74.51522221
115,Chicago,5/20/09 8:00,ARDEN WAY / CHALLENGE WAY,4,4A,908,487(A) GRAND THEFT-AUTO PARTS,2304,-41.4884492,87.51016505
116,Boston,4/15/10 8:00,3000 ACADEMY WAY,5,5A,1398,23152(A) VC DUI-ALCOHOL/DRUGS,5404,-42.4984478,71.6270814
117,New York,4/4/10 11:00,5700 MUSKINGHAM WAY,2,2A,509,459 PC  BURGLARY BUSINESS,2203,-40.491401,74.56382548
118,Boston,2/7/09 15:00,13TH ST / G ST,5,5B,1604,459 PC  BURGLARY RESIDENCE,2204,-42.4846466,71.58283595
119,Los Angeles,4/11/08 3:45,1729 DIGGS PARK DR,5,5B,1369,459 PC  BURGLARY VEHICLE,2299,-34.493964,118.61077027
120,Sacramento,1/28/06 23:47,12TH AVE / 40TH ST,6,6A,1042,SUSP PERS-NO CRIME - I RPT,7000,-121.4607739,38.54118933
121,New York,4/2/05 16:45,3611 TRUXEL RD,4,4A,1202,459 PC  BURGLARY BUSINESS,2203,-40.5247086,74.49372331
122,Los Angeles,8/10/11 13:30,2250 68TH AVE,6,6C,1405,MISSING PERSON I RPT,7000,-34.4764341,118.55735796
123,Sacramento,1/14/06 20:37,1010 27TH ST,3,3B,748,594(B)(2)(A) VANDALISM/ -$400,2999,-121.4707578,38.57394234
124,New York,12/26/10 15:00,5150 FREEPORT BLVD,3,3A,705,594(B)(2)(A) VANDALISM/ -$400,2999,-40.5372839,74.646805
125,Sacramento,5/1/09 13:30,6001 RIZA AVE,6,6C,1441,CASUALTY REPORT,7000,-121.4359118,38.5057826
126,Sacramento,8/15/06 3:45,11 ALCANON CT,1,1B,353,459 PC  BURGLARY VEHICLE,2299,-121.5264198,38.62453557
127,New York,2/20/09 13:30,37TH ST / 2ND AVE,4,4B,958,20002(A) HIT/RUN,5401,-40.5038535,74.49870196
128,New York,7/10/12 20:15,2687 ALTOS AVE,4,4A,903,GANG ACTIVITY - I RPT,7000,-40.4476033,74.5249316
129,Sacramento,5/9/11 3:45,N 10TH ST / N B ST,3,3A,705,11357(B)HS POSS -28.5GR MARIJ,3562,-121.4887072,38.59127025
130,New York,1/7/05 18:30,6000 LEMON HILL AVE,2,2A,509,TOWED/STORED VEHICLE,7000,-40.4362525,74.62596616
131,Boston,12/7/10 11:00,3RD ST / J ST,3,3A,706,CASUALTY REPORT,7000,-42.471459,71.52367283
132,Boston,6/6/12 18:30,1901 ARDEN WAY,4,4B,958,459 PC  BURGLARY VEHICLE,2299,-42.4101987,71.50578888
133,Boston,11/7/05 18:30,HOWE AVE / US 50 WB,6,6B,1058,TRAFFIC-ACCIDENT-NON INJURY,5400,-42.4207473,71.62013416
134,Sacramento,1/3/06 17:30,1417 AUBURN BLVD,2,2C,567,10851(A)VC TAKE VEH W/O OWNER,2404,-121.4343762,38.61141174
135,Boston,12/6/09 9:15,BRANCH ST / RIVERA DR,6,6B,1068,TOWED/STORED VEH-14602.6,7000,-42.4731883,71.54464324
136,Sacramento,1/6/06 22:30,456 FLORIN RD,4,4C,1259,594(B)(2)(A) VANDALISM/ -$400,2999,-121.5395568,38.50583253
137,Sacramento,2/27/06 11:00,801 SAN JUAN RD,1,1C,405,484 PETTY THEFT/LICENSE PLATE,2399,-121.4806029,38.62939722
138,Los Angeles,7/9/09 0:00,845 EL CAMINO AVE,1,1C,449,10.48.150 E FALSIFY PKG PERMIT,7399,-34.5323364,118.64998963
139,Sacramento,1/15/06 9:35,2600 STOCKTON BLVD,6,6A,1015,MISSING PERSON,7000,-121.4564089,38.55196871
140,Boston,4/25/09 18:30,5400 RALEY BLVD,1,1B,443,10851(A)VC TAKE VEH W/O OWNER,2404,-42.5340459,71.49457685
141,Chicago,12/10/11 18:30,2131 62ND AVE,5,5B,1631,5150 WI DANGER SELF/OTHERS,7000,-41.4857747,87.49574798
142,Boston,7/9/07 2:30,CAPITOL AVE / 15TH ST,6,6C,1111,594(B)(1)PC  VANDALISM +$400,2999,-42.4444079,71.55239225
143,Sacramento,1/22/06 21:20,S ST / 7TH ST,3,3A,773,594(B)(2)(A) VANDALISM/ -$400,2999,-121.5017385,38.57145746
144,Chicago,4/27/07 3:45,2626 43RD ST,5,5B,1603,TRAFFIC-ACCIDENT-NON INJURY,5400,-41.4901707,87.58378853
145,New York,7/18/10 8:00,34TH ST / 21ST AVE,5,5B,1622,484 PETTY THEFT-SHOPLIFT,2303,-40.4250682,74.47322263
146,Los Angeles,2/8/05 0:00,7946 POCKET RD,4,4A,912,594(B)(1)VANDALISM GRAF +$400,2999,-34.4238252,118.5978936
147,New York,10/8/12 13:30,2338 FLORIN RD,6,6C,1447,459 PC  BURGLARY VEHICLE,2299,-40.4794001,74.53428621
148,Boston,9/9/10 15:00,25TH ST / FLORIN RD,2,2B,564,10851(A)VC TAKE VEH W/O OWNER,2404,-42.4988143,71.48134512
149,Los Angeles,9/8/07 20:15,2025 W EL CAMINO AVE,3,3M,732,MISSING PERSON,7000,-34.4281268,118.47295223
150,Chicago,7/27/06 2:30,7TH ST / J ST,5,5C,1624,459 PC  BURGLARY RESIDENCE,2204,-41.4116082,87.4411728
151,Chicago,3/7/08 13:30,404 SANTA ANA AVE,1,1B,410,484J PC PUBLISH CARD INFO,2605,-41.4890397,87.5692795
152,Los Angeles,1/10/06 11:00,1 PARK CENTER DR,3,3B,768,TOWED/STORED VEH-14602.6,7000,-34.3935632,118.55408112
153,Sacramento,4/8/07 18:30,660 J ST,3,3M,742,459 PC  BURGLARY BUSINESS,2203,-121.4982228,38.58097068
154,Los Angeles,6/8/11 18:30,8TH AVE / SAN CARLOS WAY,5,5A,1502,246 PC SHOOT OCCUP DWELL/VEH,5213,-34.4992925,118.53124638
155,New York,1/6/10 15:00,2061 ROYAL OAKS DR,6,6B,1086,5150 WI DANGER SELF/OTHERS,7000,-40.492387,74.57763638
156,Boston,10/4/05 2:30,24TH AVE / FRANKLIN BLVD,4,4B,969,12020(A)1) PROHIBITED FIREARM,5212,-42.4984478,71.6270814
157,Los Angeles,2/20/08 20:15,1400 MAIN AVE,6,6A,1041,10851(A)VC TAKE VEH W/O OWNER,2404,-34.4652065,118.5272962
158,Sacramento,4/20/11 0:00,SAN JUAN RD / TRUXEL RD,1,1B,404,23222(B)POSSESS MARIJ IN VEH,5499,-121.4978994,38.62741952
159,Sacramento,1/30/06 9:23,PALMER ST / ARCADE BLVD,2,2B,537,TOWED/STORED VEH-14602.6,7000,-121.4307192,38.62585123
160,Chicago,6/5/11 1:00,4307 BURGESS DR,5,5A,1364,243(D) PC BATT/CIVILIAN W/INJ,1315,-41.4633604,87.56640912
161,Los Angeles,3/11/11 0:00,3900 MARTIN LUTHER KING JR BLVD,6,6C,1113,NON INJ HR/MAIL OUT REPORT,7000,-34.3853268,118.64271559
162,Boston,12/10/11 18:30,ROSIN CT / NORTHGATE BLVD,2,2A,205,484G(B) PC ACCESS CARD FRAUD,2605,-42.473503,71.53184858
163,Sacramento,10/8/10 16:45,5955 LAGUNA RANCH CIR,5,5C,1651,10851(A)VC TAKE VEH W/O OWNER,2404,-121.4361716,38.44942327
164,New York,9/15/05 18:30,65TH ST / 4TH AVE,3,3B,736,594(B)(1)VANDALISM GRAF +$400,2999,-40.4425904,74.52497346
165,Sacramento,1/20/06 6:15,163 PINEDALE AVE,2,2A,212,459 PC  BURGLARY VEHICLE,2299,-121.4626063,38.65909484
166,Sacramento,1/18/06 21:00,3038 40TH ST,6,6A,1032,MISSING PERSON,7000,-121.4608546,38.54624499
167,New York,8/5/06 3:45,5637 MACK RD,6,6A,1041,TOWED/STORED VEH-14602.6,7000,-40.4939842,74.62419798
168,Sacramento,10/8/09 15:00,2815 CONNIE DR,2,2C,567,459 PC  BURGLARY RESIDENCE,2204,-121.421177,38.61722561
169,Boston,5/1/11 11:00,1915 I ST,3,3B,766,647(B) PC   PROSTITUTION,4004,-42.4427536,71.6348368
170,Los Angeles,6/8/10 2:30,1270 HELENA AVE,4,4B,1346,TOWED/STORED VEH-14602.6,7000,-34.4743108,118.53513366
171,Los Angeles,6/10/08 3:45,ACADEMY WAY / KATHLEEN AVE,1,1A,130,484 PETTY THEFT-SHOPLIFT,2303,-34.5060656,118.49563049
172,Chicago,7/20/09 20:15,545 K ST,5,5C,1623,211 PC  ROBBERY UNSPECIFIED,1299,-41.4446434,87.6358152
173,Boston,8/15/07 0:00,2810 33RD AVE,2,2B,564,SUSP PERS-NO CRIME - I RPT,7000,-42.4189763,71.62055915
174,Sacramento,1/19/06 8:30,11 TANFIELD CT,1,1B,412,459 PC  BURGLARY RESIDENCE,2204,-121.4985029,38.6237316
175,New York,8/27/09 8:00,2101 CLUB CENTER DR,5,5C,1634,TOWED/STORED VEH-14602.6,7000,-40.4274605,74.51599171
176,Los Angeles,11/18/09 13:30,POWER INN RD / ELDER CREEK RD,5,5B,1614,TOWED/STORED VEH-14602.6,7000,-34.409083,118.51055016
177,Los Angeles,8/5/06 0:00,RIO LINDA BLVD / SOUTH AVE,6,6C,1121,TRAFFIC-ACCIDENT-NON INJURY,5400,-34.4852422,118.56090952
178,Los Angeles,6/2/12 13:30,5819 BAMFORD DR,3,3A,709,459 PC  BURGLARY BUSINESS,2203,-34.4306788,118.50643521
179,New York,8/6/10 16:45,2502 RIVERSIDE BLVD,4,4B,958,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,-40.4790449,74.55805348
180,New York,11/20/05 9:15,3700 2ND AVE,3,3C,1106,484 PETTY THEFT/LICENSE PLATE,2399,-40.4501933,74.54674127
181,Boston,3/3/11 1:00,6111 15TH AVE,6,2B,1401,TRAFFIC-ACCIDENT INJURY,5400,-42.4866655,71.62363032
182,New York,2/25/08 15:00,22 CAPRICE CT,3,3B,727,TRAFFIC-ACCIDENT INJURY,5400,-40.4815537,74.57904372
183,Chicago,10/9/09 11:00,2604 EVERGREEN ST,6,6A,1014,23152(A) VC DUI-ALCOHOL/DRUGS,5404,-41.5321939,87.48340441
184,Chicago,1/26/09 20:15,8170 GRANDSTAFF DR,3,3B,728,TOWED/STORED VEH-14602.6,7000,-41.4753422,87.5393973
185,Chicago,9/10/05 9:15,501 RIVERGATE WAY,3,3B,738,11352(A)HS SALE/TRANS CNTL SUB,3532,-41.4243909,87.51003423
186,Boston,1/6/11 11:00,3737 JASMINE ST,2,2C,603,484 PC PETTY THEFT,2399,-42.4647075,71.54395353
187,Sacramento,6/1/08 11:00,480 REDWOOD AVE,2,2C,602,10851(A)VC TAKE VEH W/O OWNER,2404,-121.4567993,38.60955023
188,Chicago,2/27/05 2:30,BOWLES ST / OAKMONT ST,3,3B,788,14601.1(A) VC LIC SUSP OTHER,5499,-41.5356226,87.48531018
189,Sacramento,1/25/06 14:30,1100 17TH ST,3,3M,746,BATTERY - I RPT,7000,-121.4848294,38.57642774
190,Boston,3/2/12 3:45,5095 STOCKTON BLVD,5,5C,1607,10851(A)VC TAKE VEH W/O OWNER,2404,-42.4538401,71.54675579
191,Los Angeles,12/8/05 2:30,2898 GROVE AVE,2,2B,526,10851(A)VC TAKE VEH W/O OWNER,2404,-34.4293793,118.44383213
192,Chicago,2/4/05 16:45,3912 60TH ST,2,2A,236,10851(A)VC TAKE VEH W/O OWNER,2404,-41.4990818,87.61308537
